,feature_combination,best_n_neighbors,best_cv_score
1819,"('trestbps', 'fbs', 'restecg', 'slope', 'thal')",17,0.7460511268261076
1820,"('trestbps', 'fbs', 'restecg', 'ca', 'thal')",19,0.7637126569083091
1821,"('trestbps', 'fbs', 'thalach', 'exang', 'oldpeak')",7,0.7130457089750863
1822,"('trestbps', 'fbs', 'thalach', 'exang', 'slope')",17,0.7075642649296349
1823,"('trestbps', 'fbs', 'thalach', 'exang', 'ca')",7,0.7773069225460529
1824,"('trestbps', 'fbs', 'thalach', 'exang', 'thal')",17,0.7808872866264169
1825,"('trestbps', 'fbs', 'thalach', 'oldpeak', 'slope')",17,0.7031132814962611
1826,"('trestbps', 'fbs', 'thalach', 'oldpeak', 'ca')",5,0.7787337445163532
1827,"('trestbps', 'fbs', 'thalach', 'oldpeak', 'thal')",17,0.7500049392368233
1828,"('trestbps', 'fbs', 'thalach', 'slope', 'ca')",3,0.7670244451708983
1829,"('trestbps', 'fbs', 'thalach', 'slope', 'thal')",19,0.7505164266758471
1830,"('trestbps', 'fbs', 'thalach', 'ca', 'thal')",5,0.7612907336737132
1831,"('trestbps', 'fbs', 'exang', 'oldpeak', 'slope')",19,0.6933105776939896
1832,"('trestbps', 'fbs', 'exang', 'oldpeak', 'ca')",7,0.7671281991654921
1833,"('trestbps', 'fbs', 'exang', 'oldpeak', 'thal')",19,0.7463490728273336
1834,"('trestbps', 'fbs', 'exang', 'slope', 'ca')",5,0.7690140312049489
1835,"('trestbps', 'fbs', 'exang', 'slope', 'thal')",15,0.7548400729705078
1836,"('trestbps', 'fbs', 'exang', 'ca', 'thal')",19,0.7672998016476278
1837,"('trestbps', 'fbs', 'oldpeak', 'slope', 'ca')",9,0.7528060853269534
1838,"('trestbps', 'fbs', 'oldpeak', 'slope', 'thal')",19,0.7417265081727324
1839,"('trestbps', 'fbs', 'oldpeak', 'ca', 'thal')",13,0.7600741048996527
1840,"('trestbps', 'fbs', 'slope', 'ca', 'thal')",7,0.7643940511315918
1841,"('trestbps', 'restecg', 'thalach', 'exang', 'oldpeak')",17,0.7358147197171878
1842,"('trestbps', 'restecg', 'thalach', 'exang', 'slope')",13,0.7133109216063792
1843,"('trestbps', 'restecg', 'thalach', 'exang', 'ca')",19,0.7599294031625234
1844,"('trestbps', 'restecg', 'thalach', 'exang', 'thal')",13,0.7580892384588037
1845,"('trestbps', 'restecg', 'thalach', 'oldpeak', 'slope')",15,0.6813918250295061
1846,"('trestbps', 'restecg', 'thalach', 'oldpeak', 'ca')",7,0.7562692985824809
1847,"('trestbps', 'restecg', 'thalach', 'oldpeak', 'thal')",19,0.780383543187891
1848,"('trestbps', 'restecg', 'thalach', 'slope', 'ca')",5,0.7591105850671068
1849,"('trestbps', 'restecg', 'thalach', 'slope', 'thal')",5,0.7487232662667445
1850,"('trestbps', 'restecg', 'thalach', 'ca', 'thal')",13,0.772927536231884
1851,"('trestbps', 'restecg', 'exang', 'oldpeak', 'slope')",11,0.7056862970631086
1852,"('trestbps', 'restecg', 'exang', 'oldpeak', 'ca')",13,0.7521600853708483
1853,"('trestbps', 'restecg', 'exang', 'oldpeak', 'thal')",19,0.739127597576873
1854,"('trestbps', 'restecg', 'exang', 'slope', 'ca')",11,0.7704026585330933
1855,"('trestbps', 'restecg', 'exang', 'slope', 'thal')",5,0.7503024688676863
1856,"('trestbps', 'restecg', 'exang', 'ca', 'thal')",11,0.7844934630586804
1857,"('trestbps', 'restecg', 'oldpeak', 'slope', 'ca')",5,0.7693169346493969
1858,"('trestbps', 'restecg', 'oldpeak', 'slope', 'thal')",19,0.7545326719499108
1859,"('trestbps', 'restecg', 'oldpeak', 'ca', 'thal')",15,0.7958989754207144
1860,"('trestbps', 'restecg', 'slope', 'ca', 'thal')",5,0.7924946845961338
1861,"('trestbps', 'thalach', 'exang', 'oldpeak', 'slope')",19,0.7608133170076934
1862,"('trestbps', 'thalach', 'exang', 'oldpeak', 'ca')",15,0.7616196449255181
1863,"('trestbps', 'thalach', 'exang', 'oldpeak', 'thal')",7,0.7503320769407726
1864,"('trestbps', 'thalach', 'exang', 'slope', 'ca')",7,0.7729425776529724
1865,"('trestbps', 'thalach', 'exang', 'slope', 'thal')",19,0.7721027667984189
1866,"('trestbps', 'thalach', 'exang', 'ca', 'thal')",19,0.8219404563287094
1867,"('trestbps', 'thalach', 'oldpeak', 'slope', 'ca')",15,0.7650721953142059
1868,"('trestbps', 'thalach', 'oldpeak', 'slope', 'thal')",19,0.7808498747629182
1869,"('trestbps', 'thalach', 'oldpeak', 'ca', 'thal')",19,0.7577681140309531
1870,"('trestbps', 'thalach', 'slope', 'ca', 'thal')",5,0.7690726009175863
1871,"('trestbps', 'exang', 'oldpeak', 'slope', 'ca')",15,0.7826955190377706
1872,"('trestbps', 'exang', 'oldpeak', 'slope', 'thal')",19,0.7719292379795812
1873,"('trestbps', 'exang', 'oldpeak', 'ca', 'thal')",11,0.7961834597021478
1874,"('trestbps', 'exang', 'slope', 'ca', 'thal')",11,0.7920362419172489
1875,"('trestbps', 'oldpeak', 'slope', 'ca', 'thal')",15,0.787315744081126
1876,"('chol', 'fbs', 'restecg', 'thalach', 'exang')",7,0.7202331006593611
1877,"('chol', 'fbs', 'restecg', 'thalach', 'oldpeak')",19,0.6932221789455411
1878,"('chol', 'fbs', 'restecg', 'thalach', 'slope')",11,0.6741582065730255
1879,"('chol', 'fbs', 'restecg', 'thalach', 'ca')",15,0.7259984702237918
1880,"('chol', 'fbs', 'restecg', 'thalach', 'thal')",15,0.740140406137355
1881,"('chol', 'fbs', 'restecg', 'exang', 'oldpeak')",7,0.7145842461349707
1882,"('chol', 'fbs', 'restecg', 'exang', 'slope')",19,0.6636902356902357
1883,"('chol', 'fbs', 'restecg', 'exang', 'ca')",11,0.7701487926652549
1884,"('chol', 'fbs', 'restecg', 'exang', 'thal')",19,0.7637829851308112
1885,"('chol', 'fbs', 'restecg', 'oldpeak', 'slope')",5,0.705529467791863
1886,"('chol', 'fbs', 'restecg', 'oldpeak', 'ca')",15,0.7276632068113047
1887,"('chol', 'fbs', 'restecg', 'oldpeak', 'thal')",19,0.7543199672040252
1888,"('chol', 'fbs', 'restecg', 'slope', 'ca')",5,0.7444342635191684
1889,"('chol', 'fbs', 'restecg', 'slope', 'thal')",3,0.7673423854728203
1890,"('chol', 'fbs', 'restecg', 'ca', 'thal')",7,0.7760568745320844
1891,"('chol', 'fbs', 'thalach', 'exang', 'oldpeak')",13,0.7333648528727915
1892,"('chol', 'fbs', 'thalach', 'exang', 'slope')",7,0.6950962528396706
1893,"('chol', 'fbs', 'thalach', 'exang', 'ca')",11,0.783469073063276
1894,"('chol', 'fbs', 'thalach', 'exang', 'thal')",17,0.7766491913883218
1895,"('chol', 'fbs', 'thalach', 'oldpeak', 'slope')",13,0.6959253951414714
1896,"('chol', 'fbs', 'thalach', 'oldpeak', 'ca')",7,0.7631857852292635
1897,"('chol', 'fbs', 'thalach', 'oldpeak', 'thal')",13,0.7629988556800151
1898,"('chol', 'fbs', 'thalach', 'slope', 'ca')",9,0.7361143736056017
1899,"('chol', 'fbs', 'thalach', 'slope', 'thal')",17,0.7468725777711285
1900,"('chol', 'fbs', 'thalach', 'ca', 'thal')",17,0.8011754678634923
1901,"('chol', 'fbs', 'exang', 'oldpeak', 'slope')",13,0.7049252438382874
1902,"('chol', 'fbs', 'exang', 'oldpeak', 'ca')",5,0.7675005367686527
1903,"('chol', 'fbs', 'exang', 'oldpeak', 'thal')",7,0.7679180044466085
1904,"('chol', 'fbs', 'exang', 'slope', 'ca')",17,0.7701818345344741
1905,"('chol', 'fbs', 'exang', 'slope', 'thal')",13,0.7635707625707626
1906,"('chol', 'fbs', 'exang', 'ca', 'thal')",7,0.7875657290699244
1907,"('chol', 'fbs', 'oldpeak', 'slope', 'ca')",9,0.7624045258072718
1908,"('chol', 'fbs', 'oldpeak', 'slope', 'thal')",11,0.7469850176661771
1909,"('chol', 'fbs', 'oldpeak', 'ca', 'thal')",7,0.7990322068892489
1910,"('chol', 'fbs', 'slope', 'ca', 'thal')",11,0.7868176833558849
1911,"('chol', 'restecg', 'thalach', 'exang', 'oldpeak')",15,0.7146180589592568
1912,"('chol', 'restecg', 'thalach', 'exang', 'slope')",13,0.6938443016993743
1913,"('chol', 'restecg', 'thalach', 'exang', 'ca')",7,0.7577144621191807
1914,"('chol', 'restecg', 'thalach', 'exang', 'thal')",19,0.7503964095485836
1915,"('chol', 'restecg', 'thalach', 'oldpeak', 'slope')",19,0.7009768121223579
1916,"('chol', 'restecg', 'thalach', 'oldpeak', 'ca')",9,0.7478299199302908
1917,"('chol', 'restecg', 'thalach', 'oldpeak', 'thal')",15,0.7721818152466513
1918,"('chol', 'restecg', 'thalach', 'slope', 'ca')",5,0.7449474458501919
1919,"('chol', 'restecg', 'thalach', 'slope', 'thal')",5,0.7511023694501955
1920,"('chol', 'restecg', 'thalach', 'ca', 'thal')",11,0.7841853910984347
1921,"('chol', 'restecg', 'exang', 'oldpeak', 'slope')",11,0.7222550251680686
1922,"('chol', 'restecg', 'exang', 'oldpeak', 'ca')",11,0.7559377140653082
1923,"('chol', 'restecg', 'exang', 'oldpeak', 'thal')",7,0.7442994038760629
1924,"('chol', 'restecg', 'exang', 'slope', 'ca')",5,0.7744889524190006
1925,"('chol', 'restecg', 'exang', 'slope', 'thal')",19,0.7675631469979296
1926,"('chol', 'restecg', 'exang', 'ca', 'thal')",1,0.8050106093584354
1927,"('chol', 'restecg', 'oldpeak', 'slope', 'ca')",11,0.7549278152342936
1928,"('chol', 'restecg', 'oldpeak', 'slope', 'thal')",19,0.7588630128523339
1929,"('chol', 'restecg', 'oldpeak', 'ca', 'thal')",5,0.80648459511503
1930,"('chol', 'restecg', 'slope', 'ca', 'thal')",3,0.7960274355274356
1931,"('chol', 'thalach', 'exang', 'oldpeak', 'slope')",19,0.7279895350009767
1932,"('chol', 'thalach', 'exang', 'oldpeak', 'ca')",19,0.7878035190788814
1933,"('chol', 'thalach', 'exang', 'oldpeak', 'thal')",13,0.7766523331740723
1934,"('chol', 'thalach', 'exang', 'slope', 'ca')",11,0.7694638474744473
1935,"('chol', 'thalach', 'exang', 'slope', 'thal')",15,0.7720073694421521
1936,"('chol', 'thalach', 'exang', 'ca', 'thal')",9,0.8049289924839123
1937,"('chol', 'thalach', 'oldpeak', 'slope', 'ca')",17,0.7607850754465342
1938,"('chol', 'thalach', 'oldpeak', 'slope', 'thal')",9,0.746104364234799
1939,"('chol', 'thalach', 'oldpeak', 'ca', 'thal')",15,0.8176266861087609
1940,"('chol', 'thalach', 'slope', 'ca', 'thal')",7,0.7854136249880583
1941,"('chol', 'exang', 'oldpeak', 'slope', 'ca')",13,0.7783913299471851
1942,"('chol', 'exang', 'oldpeak', 'slope', 'thal')",13,0.7715764267938181
1943,"('chol', 'exang', 'oldpeak', 'ca', 'thal')",11,0.8034688825800901
1944,"('chol', 'exang', 'slope', 'ca', 'thal')",5,0.8130836955512775
1945,"('chol', 'oldpeak', 'slope', 'ca', 'thal')",19,0.7927736309372464
1946,"('fbs', 'restecg', 'thalach', 'exang', 'oldpeak')",17,0.7187338023564648
1947,"('fbs', 'restecg', 'thalach', 'exang', 'slope')",19,0.6840127035041814
1948,"('fbs', 'restecg', 'thalach', 'exang', 'ca')",5,0.7779705057055066
1949,"('fbs', 'restecg', 'thalach', 'exang', 'thal')",7,0.7741219707324286
1950,"('fbs', 'restecg', 'thalach', 'oldpeak', 'slope')",15,0.6801567718379313
1951,"('fbs', 'restecg', 'thalach', 'oldpeak', 'ca')",9,0.7457067791095252
1952,"('fbs', 'restecg', 'thalach', 'oldpeak', 'thal')",19,0.7546875050536378
1953,"('fbs', 'restecg', 'thalach', 'slope', 'ca')",7,0.7394334655498548
1954,"('fbs', 'restecg', 'thalach', 'slope', 'thal')",15,0.7116678386975079
1955,"('fbs', 'restecg', 'thalach', 'ca', 'thal')",19,0.7682610288262463
1956,"('fbs', 'restecg', 'exang', 'oldpeak', 'slope')",19,0.7059530348750985
1957,"('fbs', 'restecg', 'exang', 'oldpeak', 'ca')",9,0.7609249128568548
1958,"('fbs', 'restecg', 'exang', 'oldpeak', 'thal')",19,0.7766887315582969
1959,"('fbs', 'restecg', 'exang', 'slope', 'ca')",19,0.7558451522768839
1960,"('fbs', 'restecg', 'exang', 'slope', 'thal')",19,0.7804644485948834
1961,"('fbs', 'restecg', 'exang', 'ca', 'thal')",5,0.7780911354938815
1962,"('fbs', 'restecg', 'oldpeak', 'slope', 'ca')",13,0.7452160138361511
1963,"('fbs', 'restecg', 'oldpeak', 'slope', 'thal')",19,0.7444135074463069
1964,"('fbs', 'restecg', 'oldpeak', 'ca', 'thal')",9,0.8013084886128364
1965,"('fbs', 'restecg', 'slope', 'ca', 'thal')",7,0.7719337554554946
1966,"('fbs', 'thalach', 'exang', 'oldpeak', 'slope')",3,0.7286800663105011
1967,"('fbs', 'thalach', 'exang', 'oldpeak', 'ca')",17,0.7810996177735308
1968,"('fbs', 'thalach', 'exang', 'oldpeak', 'thal')",11,0.7841172515085558
1969,"('fbs', 'thalach', 'exang', 'slope', 'ca')",5,0.7646961733521423
1970,"('fbs', 'thalach', 'exang', 'slope', 'thal')",19,0.7764773487382183
1971,"('fbs', 'thalach', 'exang', 'ca', 'thal')",11,0.8161687118546845
1972,"('fbs', 'thalach', 'oldpeak', 'slope', 'ca')",7,0.7701774767876979
1973,"('fbs', 'thalach', 'oldpeak', 'slope', 'thal')",19,0.7505989517728648
1974,"('fbs', 'thalach', 'oldpeak', 'ca', 'thal')",17,0.7772539225333849
1975,"('fbs', 'thalach', 'slope', 'ca', 'thal')",7,0.7818438545812885
1976,"('fbs', 'exang', 'oldpeak', 'slope', 'ca')",7,0.7776004560420248
1977,"('fbs', 'exang', 'oldpeak', 'slope', 'thal')",13,0.7718396836657707
1978,"('fbs', 'exang', 'oldpeak', 'ca', 'thal')",11,0.7853067298833889
1979,"('fbs', 'exang', 'slope', 'ca', 'thal')",17,0.7799904207440439
1980,"('fbs', 'oldpeak', 'slope', 'ca', 'thal')",7,0.7704743269478534
1981,"('restecg', 'thalach', 'exang', 'oldpeak', 'slope')",17,0.7524330128864836
1982,"('restecg', 'thalach', 'exang', 'oldpeak', 'ca')",17,0.7735855026238782
1983,"('restecg', 'thalach', 'exang', 'oldpeak', 'thal')",11,0.7710456076398106
1984,"('restecg', 'thalach', 'exang', 'slope', 'ca')",5,0.7873197627442479
1985,"('restecg', 'thalach', 'exang', 'slope', 'thal')",19,0.7705142967451024
1986,"('restecg', 'thalach', 'exang', 'ca', 'thal')",5,0.8087882968783703
1987,"('restecg', 'thalach', 'oldpeak', 'slope', 'ca')",9,0.7648445448676385
1988,"('restecg', 'thalach', 'oldpeak', 'slope', 'thal')",17,0.7625679501446092
1989,"('restecg', 'thalach', 'oldpeak', 'ca', 'thal')",19,0.7971820530516183
1990,"('restecg', 'thalach', 'slope', 'ca', 'thal')",7,0.7692406124551631
1991,"('restecg', 'exang', 'oldpeak', 'slope', 'ca')",11,0.7777626007915864
1992,"('restecg', 'exang', 'oldpeak', 'slope', 'thal')",13,0.7805771796641362
1993,"('restecg', 'exang', 'oldpeak', 'ca', 'thal')",9,0.7917972216782285
1994,"('restecg', 'exang', 'slope', 'ca', 'thal')",13,0.7926877679486375
1995,"('restecg', 'oldpeak', 'slope', 'ca', 'thal')",11,0.7886447398689961
1996,"('thalach', 'exang', 'oldpeak', 'slope', 'ca')",11,0.778359333878339
1997,"('thalach', 'exang', 'oldpeak', 'slope', 'thal')",3,0.7542727749974126
1998,"('thalach', 'exang', 'oldpeak', 'ca', 'thal')",13,0.8212777009413165
1999,"('thalach', 'exang', 'slope', 'ca', 'thal')",7,0.8159099760896493
2000,"('thalach', 'oldpeak', 'slope', 'ca', 'thal')",7,0.7886137753320578
2001,"('exang', 'oldpeak', 'slope', 'ca', 'thal')",17,0.8050792600907016
2002,"('age', 'sex', 'cp', 'trestbps', 'chol', 'fbs')",19,0.7222172312144972
2003,"('age', 'sex', 'cp', 'trestbps', 'chol', 'restecg')",17,0.7134721757040599
2004,"('age', 'sex', 'cp', 'trestbps', 'chol', 'thalach')",5,0.7393998080743391
2005,"('age', 'sex', 'cp', 'trestbps', 'chol', 'exang')",15,0.7553413199790011
2006,"('age', 'sex', 'cp', 'trestbps', 'chol', 'oldpeak')",9,0.7238893548670766
2007,"('age', 'sex', 'cp', 'trestbps', 'chol', 'slope')",5,0.7602567421842784
2008,"('age', 'sex', 'cp', 'trestbps', 'chol', 'ca')",15,0.7649786647701916
2009,"('age', 'sex', 'cp', 'trestbps', 'chol', 'thal')",19,0.771806700545831
2010,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg')",11,0.7395734901310798
2011,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'thalach')",9,0.7620987654320988
2012,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'exang')",19,0.7553754587197077
2013,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'oldpeak')",7,0.7257122033732955
2014,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'slope')",15,0.7355917329555773
2015,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'ca')",5,0.7529824945374145
2016,"('age', 'sex', 'cp', 'trestbps', 'fbs', 'thal')",19,0.7711380159801212
2017,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'thalach')",13,0.7432149695828778
2018,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'exang')",19,0.7262653538171043
2019,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'oldpeak')",11,0.7372243356669828
2020,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'slope')",15,0.7344978391414909
2021,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'ca')",19,0.744779287515684
2022,"('age', 'sex', 'cp', 'trestbps', 'restecg', 'thal')",19,0.7545309517163064
2023,"('age', 'sex', 'cp', 'trestbps', 'thalach', 'exang')",19,0.7368629934082453
2024,"('age', 'sex', 'cp', 'trestbps', 'thalach', 'oldpeak')",19,0.7651473920604356
2025,"('age', 'sex', 'cp', 'trestbps', 'thalach', 'slope')",15,0.7522042353781484
2026,"('age', 'sex', 'cp', 'trestbps', 'thalach', 'ca')",13,0.7826933302875332
2027,"('age', 'sex', 'cp', 'trestbps', 'thalach', 'thal')",19,0.7887467905149064
2028,"('age', 'sex', 'cp', 'trestbps', 'exang', 'oldpeak')",19,0.7678429484015374
2029,"('age', 'sex', 'cp', 'trestbps', 'exang', 'slope')",7,0.7477420487079603
2030,"('age', 'sex', 'cp', 'trestbps', 'exang', 'ca')",15,0.7914374782490725
2031,"('age', 'sex', 'cp', 'trestbps', 'exang', 'thal')",9,0.7734668262523546
2032,"('age', 'sex', 'cp', 'trestbps', 'oldpeak', 'slope')",3,0.7489722879240752
2033,"('age', 'sex', 'cp', 'trestbps', 'oldpeak', 'ca')",19,0.7862285657505416
2034,"('age', 'sex', 'cp', 'trestbps', 'oldpeak', 'thal')",11,0.7787705048574614
2035,"('age', 'sex', 'cp', 'trestbps', 'slope', 'ca')",15,0.7831014613547032
2036,"('age', 'sex', 'cp', 'trestbps', 'slope', 'thal')",5,0.7579661270164703
2037,"('age', 'sex', 'cp', 'trestbps', 'ca', 'thal')",9,0.809519908178947
2038,"('age', 'sex', 'cp', 'chol', 'fbs', 'restecg')",3,0.7359258341148579
2039,"('age', 'sex', 'cp', 'chol', 'fbs', 'thalach')",9,0.7396908836117915
2040,"('age', 'sex', 'cp', 'chol', 'fbs', 'exang')",11,0.7616654161726625
2041,"('age', 'sex', 'cp', 'chol', 'fbs', 'oldpeak')",11,0.7605523510306118
2042,"('age', 'sex', 'cp', 'chol', 'fbs', 'slope')",5,0.756562515965262
2043,"('age', 'sex', 'cp', 'chol', 'fbs', 'ca')",7,0.773843116089493
2044,"('age', 'sex', 'cp', 'chol', 'fbs', 'thal')",19,0.7756290692667505
2045,"('age', 'sex', 'cp', 'chol', 'restecg', 'thalach')",11,0.7196705292604392
2046,"('age', 'sex', 'cp', 'chol', 'restecg', 'exang')",7,0.761028718305843
2047,"('age', 'sex', 'cp', 'chol', 'restecg', 'oldpeak')",5,0.7532663714626417
2048,"('age', 'sex', 'cp', 'chol', 'restecg', 'slope')",3,0.7561847309398797
2049,"('age', 'sex', 'cp', 'chol', 'restecg', 'ca')",3,0.7670464827711205
2050,"('age', 'sex', 'cp', 'chol', 'restecg', 'thal')",17,0.7547339986905205
2051,"('age', 'sex', 'cp', 'chol', 'thalach', 'exang')",19,0.7639547478258386
2052,"('age', 'sex', 'cp', 'chol', 'thalach', 'oldpeak')",19,0.7907264335079638
2053,"('age', 'sex', 'cp', 'chol', 'thalach', 'slope')",5,0.752982311453944
2054,"('age', 'sex', 'cp', 'chol', 'thalach', 'ca')",19,0.7951156277890016
2055,"('age', 'sex', 'cp', 'chol', 'thalach', 'thal')",15,0.779449330594258
2056,"('age', 'sex', 'cp', 'chol', 'exang', 'oldpeak')",17,0.7657735662083488
2057,"('age', 'sex', 'cp', 'chol', 'exang', 'slope')",11,0.7662650280476366
2058,"('age', 'sex', 'cp', 'chol', 'exang', 'ca')",3,0.8072794391820141
2059,"('age', 'sex', 'cp', 'chol', 'exang', 'thal')",11,0.7713384457732284
2060,"('age', 'sex', 'cp', 'chol', 'oldpeak', 'slope')",19,0.7540538114596086
2061,"('age', 'sex', 'cp', 'chol', 'oldpeak', 'ca')",3,0.8032298566760808
2062,"('age', 'sex', 'cp', 'chol', 'oldpeak', 'thal')",9,0.7614865934980352
2063,"('age', 'sex', 'cp', 'chol', 'slope', 'ca')",3,0.7908676858356493
2064,"('age', 'sex', 'cp', 'chol', 'slope', 'thal')",3,0.7645301932588551
2065,"('age', 'sex', 'cp', 'chol', 'ca', 'thal')",7,0.8215710967564513
2066,"('age', 'sex', 'cp', 'fbs', 'restecg', 'thalach')",15,0.739149879374517
2067,"('age', 'sex', 'cp', 'fbs', 'restecg', 'exang')",3,0.7602448193118105
2068,"('age', 'sex', 'cp', 'fbs', 'restecg', 'oldpeak')",5,0.7323475221959663
2069,"('age', 'sex', 'cp', 'fbs', 'restecg', 'slope')",7,0.7453133487694892
2070,"('age', 'sex', 'cp', 'fbs', 'restecg', 'ca')",1,0.7626164125729343
2071,"('age', 'sex', 'cp', 'fbs', 'restecg', 'thal')",19,0.7760178533222011
2072,"('age', 'sex', 'cp', 'fbs', 'thalach', 'exang')",13,0.7668209793427185
2073,"('age', 'sex', 'cp', 'fbs', 'thalach', 'oldpeak')",9,0.7566291735780676
2074,"('age', 'sex', 'cp', 'fbs', 'thalach', 'slope')",11,0.7448214094011194
2075,"('age', 'sex', 'cp', 'fbs', 'thalach', 'ca')",11,0.7638334852345479
2076,"('age', 'sex', 'cp', 'fbs', 'thalach', 'thal')",19,0.7885249677858374
2077,"('age', 'sex', 'cp', 'fbs', 'exang', 'oldpeak')",15,0.756086384782655
2078,"('age', 'sex', 'cp', 'fbs', 'exang', 'slope')",9,0.7479079191259286
2079,"('age', 'sex', 'cp', 'fbs', 'exang', 'ca')",15,0.7783157505379552
2080,"('age', 'sex', 'cp', 'fbs', 'exang', 'thal')",19,0.7888551604058851
2081,"('age', 'sex', 'cp', 'fbs', 'oldpeak', 'slope')",9,0.7575108273369142
2082,"('age', 'sex', 'cp', 'fbs', 'oldpeak', 'ca')",9,0.7677088626804952
2083,"('age', 'sex', 'cp', 'fbs', 'oldpeak', 'thal')",19,0.7691432092898991
2084,"('age', 'sex', 'cp', 'fbs', 'slope', 'ca')",3,0.7697492523579481
2085,"('age', 'sex', 'cp', 'fbs', 'slope', 'thal')",17,0.7672664726577769
2086,"('age', 'sex', 'cp', 'fbs', 'ca', 'thal')",19,0.8039754659838565
2087,"('age', 'sex', 'cp', 'restecg', 'thalach', 'exang')",15,0.7484120672671397
2088,"('age', 'sex', 'cp', 'restecg', 'thalach', 'oldpeak')",9,0.7700660595287492
2089,"('age', 'sex', 'cp', 'restecg', 'thalach', 'slope')",5,0.7490397288031103
2090,"('age', 'sex', 'cp', 'restecg', 'thalach', 'ca')",15,0.7821093843220411
2091,"('age', 'sex', 'cp', 'restecg', 'thalach', 'thal')",9,0.7839508886175552
2092,"('age', 'sex', 'cp', 'restecg', 'exang', 'oldpeak')",5,0.753388738475695
2093,"('age', 'sex', 'cp', 'restecg', 'exang', 'slope')",19,0.7305623538002085
2094,"('age', 'sex', 'cp', 'restecg', 'exang', 'ca')",19,0.7774657839664021
2095,"('age', 'sex', 'cp', 'restecg', 'exang', 'thal')",19,0.7754977084107518
2096,"('age', 'sex', 'cp', 'restecg', 'oldpeak', 'slope')",17,0.7289630718181443
2097,"('age', 'sex', 'cp', 'restecg', 'oldpeak', 'ca')",7,0.772960633429532
2098,"('age', 'sex', 'cp', 'restecg', 'oldpeak', 'thal')",19,0.7742741992307208
2099,"('age', 'sex', 'cp', 'restecg', 'slope', 'ca')",3,0.7986167701001615
2100,"('age', 'sex', 'cp', 'restecg', 'slope', 'thal')",7,0.770449930102104
2101,"('age', 'sex', 'cp', 'restecg', 'ca', 'thal')",13,0.7878242075747797
2102,"('age', 'sex', 'cp', 'thalach', 'exang', 'oldpeak')",3,0.7693612560279227
2103,"('age', 'sex', 'cp', 'thalach', 'exang', 'slope')",13,0.7571990339236716
2104,"('age', 'sex', 'cp', 'thalach', 'exang', 'ca')",15,0.8093831879339126
2105,"('age', 'sex', 'cp', 'thalach', 'exang', 'thal')",19,0.7965945648554345
2106,"('age', 'sex', 'cp', 'thalach', 'oldpeak', 'slope')",17,0.7487094122608207
2107,"('age', 'sex', 'cp', 'thalach', 'oldpeak', 'ca')",19,0.8116406701111455
2108,"('age', 'sex', 'cp', 'thalach', 'oldpeak', 'thal')",13,0.7830838153851121
2109,"('age', 'sex', 'cp', 'thalach', 'slope', 'ca')",3,0.7917855091768133
2110,"('age', 'sex', 'cp', 'thalach', 'slope', 'thal')",9,0.7878872984235303
2111,"('age', 'sex', 'cp', 'thalach', 'ca', 'thal')",11,0.8219712504350184
2112,"('age', 'sex', 'cp', 'exang', 'oldpeak', 'slope')",13,0.7612719228676512
2113,"('age', 'sex', 'cp', 'exang', 'oldpeak', 'ca')",15,0.7948073839716177
2114,"('age', 'sex', 'cp', 'exang', 'oldpeak', 'thal')",17,0.7876104652191609
2115,"('age', 'sex', 'cp', 'exang', 'slope', 'ca')",11,0.7879681912290607
2116,"('age', 'sex', 'cp', 'exang', 'slope', 'thal')",13,0.7741974305887348
2117,"('age', 'sex', 'cp', 'exang', 'ca', 'thal')",17,0.8043839811345531
2118,"('age', 'sex', 'cp', 'oldpeak', 'slope', 'ca')",7,0.7865029327834255
2119,"('age', 'sex', 'cp', 'oldpeak', 'slope', 'thal')",15,0.7790342939542024
2120,"('age', 'sex', 'cp', 'oldpeak', 'ca', 'thal')",17,0.796396397596245
2121,"('age', 'sex', 'cp', 'slope', 'ca', 'thal')",17,0.8180647691151123
2122,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg')",15,0.6649115574487888
2123,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'thalach')",15,0.708489135451378
2124,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'exang')",19,0.7265842384019349
2125,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'oldpeak')",13,0.7038670468441636
2126,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'slope')",7,0.7151058806436381
2127,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'ca')",19,0.7645452889726032
2128,"('age', 'sex', 'trestbps', 'chol', 'fbs', 'thal')",9,0.7751914483798542
2129,"('age', 'sex', 'trestbps', 'chol', 'restecg', 'thalach')",19,0.6985512218309566
