,feature_combination,best_n_neighbors,best_cv_score
92,"('age', 'cp', 'exang', 'ca')",11,0.790673967471069
93,"('age', 'cp', 'exang', 'thal')",11,0.7816297695862913
94,"('age', 'cp', 'oldpeak', 'slope')",17,0.7435818636387562
95,"('age', 'cp', 'oldpeak', 'ca')",19,0.8013218487037909
96,"('age', 'cp', 'oldpeak', 'thal')",9,0.7609654934437543
97,"('age', 'cp', 'slope', 'ca')",3,0.784101687362557
98,"('age', 'cp', 'slope', 'thal')",9,0.7960169408161727
99,"('age', 'cp', 'ca', 'thal')",5,0.8172094513109005
100,"('age', 'trestbps', 'chol', 'fbs')",5,0.6186026700084671
101,"('age', 'trestbps', 'chol', 'restecg')",17,0.6208960379395163
102,"('age', 'trestbps', 'chol', 'thalach')",9,0.7110488867010607
103,"('age', 'trestbps', 'chol', 'exang')",7,0.718539658945456
104,"('age', 'trestbps', 'chol', 'oldpeak')",9,0.6718189279855945
105,"('age', 'trestbps', 'chol', 'slope')",7,0.6881692751692752
106,"('age', 'trestbps', 'chol', 'ca')",17,0.7506039143357984
107,"('age', 'trestbps', 'chol', 'thal')",17,0.7332807799878738
108,"('age', 'trestbps', 'fbs', 'restecg')",3,0.591153892890735
109,"('age', 'trestbps', 'fbs', 'thalach')",7,0.6850211471298427
110,"('age', 'trestbps', 'fbs', 'exang')",7,0.7142236947164483
111,"('age', 'trestbps', 'fbs', 'oldpeak')",19,0.6663178474208223
112,"('age', 'trestbps', 'fbs', 'slope')",9,0.6767623348203059
113,"('age', 'trestbps', 'fbs', 'ca')",9,0.7396823250703548
114,"('age', 'trestbps', 'fbs', 'thal')",17,0.7196390449113561
115,"('age', 'trestbps', 'restecg', 'thalach')",5,0.680895794975958
116,"('age', 'trestbps', 'restecg', 'exang')",5,0.7104628452035012
117,"('age', 'trestbps', 'restecg', 'oldpeak')",7,0.6953914695074115
118,"('age', 'trestbps', 'restecg', 'slope')",11,0.6545390279728756
119,"('age', 'trestbps', 'restecg', 'ca')",9,0.761904766329786
120,"('age', 'trestbps', 'restecg', 'thal')",15,0.7348012422360248
121,"('age', 'trestbps', 'thalach', 'exang')",9,0.7263136914054613
122,"('age', 'trestbps', 'thalach', 'oldpeak')",15,0.7092977324396089
123,"('age', 'trestbps', 'thalach', 'slope')",11,0.7278656673439283
124,"('age', 'trestbps', 'thalach', 'ca')",11,0.7738313629317337
125,"('age', 'trestbps', 'thalach', 'thal')",19,0.7431014492753623
126,"('age', 'trestbps', 'exang', 'oldpeak')",19,0.708774905223523
127,"('age', 'trestbps', 'exang', 'slope')",5,0.7180052917753772
128,"('age', 'trestbps', 'exang', 'ca')",9,0.7918313335674129
129,"('age', 'trestbps', 'exang', 'thal')",19,0.750372859025033
130,"('age', 'trestbps', 'oldpeak', 'slope')",15,0.7109693746940122
131,"('age', 'trestbps', 'oldpeak', 'ca')",11,0.761026560093747
132,"('age', 'trestbps', 'oldpeak', 'thal')",13,0.7580379631104269
133,"('age', 'trestbps', 'slope', 'ca')",19,0.7648267446455852
134,"('age', 'trestbps', 'slope', 'thal')",7,0.7462136876599119
135,"('age', 'trestbps', 'ca', 'thal')",11,0.7761194340873974
136,"('age', 'chol', 'fbs', 'restecg')",15,0.6340456698427713
137,"('age', 'chol', 'fbs', 'thalach')",3,0.7108228368518222
138,"('age', 'chol', 'fbs', 'exang')",5,0.7310579401134912
139,"('age', 'chol', 'fbs', 'oldpeak')",17,0.6557861124382864
140,"('age', 'chol', 'fbs', 'slope')",9,0.6421076250174332
141,"('age', 'chol', 'fbs', 'ca')",5,0.746013385165559
142,"('age', 'chol', 'fbs', 'thal')",5,0.7291656893830807
143,"('age', 'chol', 'restecg', 'thalach')",17,0.6837425671483641
144,"('age', 'chol', 'restecg', 'exang')",15,0.7131862836445793
145,"('age', 'chol', 'restecg', 'oldpeak')",19,0.6813584820976126
146,"('age', 'chol', 'restecg', 'slope')",9,0.6596596732655282
147,"('age', 'chol', 'restecg', 'ca')",19,0.7430710375319649
148,"('age', 'chol', 'restecg', 'thal')",17,0.7339318571927268
149,"('age', 'chol', 'thalach', 'exang')",9,0.7317544617459396
150,"('age', 'chol', 'thalach', 'oldpeak')",3,0.7281847157453302
151,"('age', 'chol', 'thalach', 'slope')",11,0.7194174453678649
152,"('age', 'chol', 'thalach', 'ca')",7,0.7656513269339357
153,"('age', 'chol', 'thalach', 'thal')",9,0.7387030135725788
154,"('age', 'chol', 'exang', 'oldpeak')",5,0.7238470173331426
155,"('age', 'chol', 'exang', 'slope')",9,0.7018875327570979
156,"('age', 'chol', 'exang', 'ca')",9,0.7976285391667407
157,"('age', 'chol', 'exang', 'thal')",17,0.7502821988588579
158,"('age', 'chol', 'oldpeak', 'slope')",19,0.6815732100211702
159,"('age', 'chol', 'oldpeak', 'ca')",5,0.7723986569013077
160,"('age', 'chol', 'oldpeak', 'thal')",17,0.750199256939913
161,"('age', 'chol', 'slope', 'ca')",7,0.7656190430268097
162,"('age', 'chol', 'slope', 'thal')",9,0.7625764058807538
163,"('age', 'chol', 'ca', 'thal')",9,0.7953539161914448
164,"('age', 'fbs', 'restecg', 'thalach')",3,0.7136697486625023
165,"('age', 'fbs', 'restecg', 'exang')",9,0.7386540658938144
166,"('age', 'fbs', 'restecg', 'oldpeak')",9,0.650681297232022
167,"('age', 'fbs', 'restecg', 'slope')",9,0.6623823340430625
168,"('age', 'fbs', 'restecg', 'ca')",7,0.7778684262597305
169,"('age', 'fbs', 'restecg', 'thal')",9,0.7757491204447726
170,"('age', 'fbs', 'thalach', 'exang')",15,0.727588726314642
